CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
M Seeley,Senior Director,2008-10-17,2008-10-17,1,M Seeley
M-l. Morin,Deputy Minister,2008-07-21,2008-07-21,1,M-L. Morin
M. Andrew Plater,Program Manager,2015-05-21,2015-05-21,1,M. Andrew Plater
M. Gerard Deltell,Member of Parliament,2016-02-18,2016-02-18,1,M. Gerard Deltell
M. Tim Martin,Ambassador to Colombia,2011-10-17,2011-10-17,1,M. Tim Martin
M.c. Wright,"Commander, Canadian Forces Intelligence Command | Chief of Defence Intelligence",2024-04-23,2024-04-23,1,M.C.  Wright
Maaha Chaudhary,Staffer to Member of Parliament,2023-10-03,2023-10-03,1,Maaha  Chaudhary 
Maaliter Teng-yang,Parliamentary Assistant,2024-09-25,2024-09-25,1,Maaliter  Teng-Yang
Maarten De Groot,"Deputy Director, Food Security Policy",2017-04-05,2017-04-05,1,Maarten de Groot
Maaz Yasin,"Advisor, Stakeholder Relations",2019-05-09,2023-03-23,33,"Maaz Yasin, Maaz Yassin"
Maaz Yasnin,Special Assistant,2018-03-26,2018-03-26,1,Maaz Yasnin
Mabelle Sawaqed,Trade Commissioner,2022-06-06,2022-06-06,1,Mabelle Sawaqed
Mable Elmore,Parliamentary Secretary,2019-10-22,2019-10-22,1,mable elmore
Mac Braid,Director of Operations,2011-06-10,2012-02-07,2,Mac Braid
Mac Harb,Senator,2009-11-17,2013-03-26,28,"Mac Harb, Mac Herb, The Hon. Mac Harb, The Honourable Senator Mac Harb"
Mac Herd,"Policy Advisor, Western Desk",2016-12-15,2016-12-15,1,Mac Herd
Mac Hird,"Regional Advisor, Prairies and North",2016-11-22,2021-08-16,106,Mac Hird
Mac Hurd,Special Assistant to the Minister of Public Safety,2017-06-06,2017-06-06,1,Mac Hurd
Mac Radan,Policy Advisor,2018-06-12,2018-06-12,1,Mac Radan
Mac-doris Jean-marie,Administrative Officer,2022-07-27,2022-07-27,1,Mac-Doris Jean-Marie
Macarie Smith,Program Manager,2022-06-13,2022-06-13,1,Macarie Smith
Macaulay,"Minister, Agriculture and Agri-Food",2016-09-27,2018-11-20,3,"Le ministre MacAuley, Minister MacAulay"
Macaulay Lawrence,Minister,2015-11-13,2025-03-11,7,"MacAulay - Lawrence, MacAulay Lawrence, MacAuly Lawrence, macaulay lawrence"
Macdonald Brian,Senior Policy Advisor to the Minister of National Defence,2009-02-16,2009-02-16,1,MacDonald Brian
Macdonald Heath,Member of Parliament,2022-10-18,2022-10-18,1,MacDonald Heath
Macdonald Helen,Assistant Deputy Minister,2008-12-16,2009-02-13,2,"MacDonald Helen, McDonald Helen"
Macdonald Jason,Deputy Chief of Staff,2013-07-29,2013-07-29,1,MacDonald Jason
Macdonald Michael,Senator,2016-05-11,2019-05-14,2,MacDonald Michael
Maceachern Malcolm,Special Assistant,2020-11-09,2020-11-09,1,MacEachern Malcolm
Macgregor Alistair,Member of Parliament,2020-01-30,2020-01-30,1,MacGregor Alistair
Mack Franklin,Communications Assistant,2024-03-20,2024-12-09,10,"MacK Franklin, Mack Franklin, Mack Franklin "
Mack Hird,"Special Assistant, Regional Affairs",2018-06-06,2018-06-06,1,Mack Hird
Mackay Todd,Director of Communication,2010-02-03,2010-02-03,1,MACKAY TODD
Mackenzie Bonnett,Analyst,2023-07-15,2024-03-22,2,"MacKenzie Bonnett, Mackenzie Bonnett"
Mackenzie Clugston,Ambassador,2013-06-06,2013-06-06,1,Mackenzie Clugston
Mackenzie Hird,"Special Assistant, Regional Affairs",2016-05-31,2021-09-29,237,"MacKenzie Hird, Mackensie Herd, Mackenzie Hird, mackenzie Hird"
Mackenzie Lambe,Chief Information Officer,2023-12-18,2023-12-18,1,Mackenzie Lambe
Mackenzie Larwill,Science and Technology Advisor,2017-06-09,2023-07-21,16,"MacKenzie Larwill, Mackenzie Larwill, Mackenzie Larwill "
Mackenzie Lawrill,Industrial Applications Officer,2024-08-14,2024-08-14,1,Mackenzie Lawrill
Mackenzie Mcgee,Parliamentary Assistant,2021-05-03,2021-05-03,1,Mackenzie McGee
Mackenzie Mcsweeney,Advisor,2022-11-08,2022-11-08,1,MacKenzie McSweeney
Mackenzie Menard,Analyst,2023-12-01,2023-12-01,1,MacKenzie Menard
Mackenzie Radan,Parliamentary Secretary Assistant,2016-03-16,2018-07-25,60,"MacKenize Radan, MacKenzie Radan, MacKenzie Radon, Mackenzie Radan"
